Name                  Type        Forward_MACs    FPercent    Memory      MPercent    Params    PPercent    InShape      OutShape
--------------------  ----------  --------------  ----------  ----------  ----------  --------  ----------  -----------  -----------
/stem/Conv            Conv        860,160         2.21%       126,240     0.71%       840       0.19%       1x3x32x32    1x30x32x32
/stem/Div             Div         122,880         0.32%       122,880     0.69%       0         0.00%       1x30x32x32   1x30x32x32
/stem/Erf             Erf         0               0.00%       122,880     0.69%       0         0.00%       1x30x32x32   1x30x32x32
/stem/Add             Add         30,720          0.08%       122,880     0.69%       0         0.00%       1x30x32x32   1x30x32x32
/stem/Mul             Mul         30,720          0.08%       122,880     0.69%       0         0.00%       1x30x32x32   1x30x32x32
/stem/Mul_1           Mul         30,720          0.08%       122,880     0.69%       0         0.00%       1x30x32x32   1x30x32x32
/0/conv/Conv          Conv        1,904,640       4.89%       253,200     1.42%       1,860     0.42%       1x30x32x32   1x60x32x32
/0/conv/Div           Div         245,760         0.63%       245,760     1.38%       0         0.00%       1x60x32x32   1x60x32x32
/0/conv/Erf           Erf         0               0.00%       245,760     1.38%       0         0.00%       1x60x32x32   1x60x32x32
/0/conv/Add           Add         61,440          0.16%       245,760     1.38%       0         0.00%       1x60x32x32   1x60x32x32
/0/conv/Mul           Mul         61,440          0.16%       245,760     1.38%       0         0.00%       1x60x32x32   1x60x32x32
/0/conv/Mul_1         Mul         61,440          0.16%       245,760     1.38%       0         0.00%       1x60x32x32   1x60x32x32
/0/conv/Conv_1        Conv        614,400         1.58%       248,160     1.39%       600       0.13%       1x60x32x32   1x60x32x32
/0/conv/Div_1         Div         245,760         0.63%       245,760     1.38%       0         0.00%       1x60x32x32   1x60x32x32
/0/conv/Erf_1         Erf         0               0.00%       245,760     1.38%       0         0.00%       1x60x32x32   1x60x32x32
/0/conv/Add_1         Add         61,440          0.16%       245,760     1.38%       0         0.00%       1x60x32x32   1x60x32x32
/0/conv/Mul_2         Mul         61,440          0.16%       245,760     1.38%       0         0.00%       1x60x32x32   1x60x32x32
/0/conv/Mul_3         Mul         61,440          0.16%       245,760     1.38%       0         0.00%       1x60x32x32   1x60x32x32
/0/conv/ReduceMean    ReduceMean  61,440          0.16%       240         0.00%       0         0.00%       1x60x32x32   1x60x1x1
/0/conv/Conv_2        Conv        1,098           0.00%       4,464       0.03%       1,098     0.25%       1x60x1x1     1x18x1x1
/0/conv/Sigmoid       Sigmoid     576             0.00%       72          0.00%       0         0.00%       1x18x1x1     1x18x1x1
/0/conv/Mul_4         Mul         18              0.00%       72          0.00%       0         0.00%       1x18x1x1     1x18x1x1
/0/conv/Conv_3        Conv        1,140           0.00%       4,800       0.03%       1,140     0.26%       1x18x1x1     1x60x1x1
/0/conv/Sigmoid_1     Sigmoid     1,920           0.00%       240         0.00%       0         0.00%       1x60x1x1     1x60x1x1
/0/conv/Mul_5         Mul         61,440          0.16%       245,760     1.38%       0         0.00%       1x60x32x32   1x60x32x32
/0/conv/Conv_4        Conv        936,960         2.41%       65,100      0.36%       915       0.21%       1x60x32x32   1x15x32x32
/1/Conv               Conv        1,720,320       4.42%       436,800     2.45%       1,680     0.38%       1x15x32x32   1x105x32x32
/1/Div                Div         430,080         1.10%       430,080     2.41%       0         0.00%       1x105x32x32  1x105x32x32
/1/Erf                Erf         0               0.00%       430,080     2.41%       0         0.00%       1x105x32x32  1x105x32x32
/1/Add                Add         107,520         0.28%       430,080     2.41%       0         0.00%       1x105x32x32  1x105x32x32
/1/Mul                Mul         107,520         0.28%       430,080     2.41%       0         0.00%       1x105x32x32  1x105x32x32
/1/Mul_1              Mul         107,520         0.28%       430,080     2.41%       0         0.00%       1x105x32x32  1x105x32x32
/1/Conv_1             Conv        698,880         1.79%       118,440     0.66%       2,730     0.61%       1x105x32x32  1x105x16x16
/1/Div_1              Div         107,520         0.28%       107,520     0.60%       0         0.00%       1x105x16x16  1x105x16x16
/1/Erf_1              Erf         0               0.00%       107,520     0.60%       0         0.00%       1x105x16x16  1x105x16x16
/1/Add_1              Add         26,880          0.07%       107,520     0.60%       0         0.00%       1x105x16x16  1x105x16x16
/1/Mul_2              Mul         26,880          0.07%       107,520     0.60%       0         0.00%       1x105x16x16  1x105x16x16
/1/Mul_3              Mul         26,880          0.07%       107,520     0.60%       0         0.00%       1x105x16x16  1x105x16x16
/1/ReduceMean         ReduceMean  26,880          0.07%       420         0.00%       0         0.00%       1x105x16x16  1x105x1x1
/1/Conv_2             Conv        1,696           0.00%       6,848       0.04%       1,696     0.38%       1x105x1x1    1x16x1x1
/1/Sigmoid            Sigmoid     512             0.00%       64          0.00%       0         0.00%       1x16x1x1     1x16x1x1
/1/Mul_4              Mul         16              0.00%       64          0.00%       0         0.00%       1x16x1x1     1x16x1x1
/1/Conv_3             Conv        1,785           0.00%       7,560       0.04%       1,785     0.40%       1x16x1x1     1x105x1x1
